,F1,pre,rec
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.11300928454396503,0.9999033536290712,0.05988897443170307
72,0.11300928454396503,0.9999033536290712,0.05988897443170307
73,0.11300021300185148,0.9998067072581425,0.05988422575976845
74,0.11297960075370711,0.9996134145162849,0.0598733415148077
75,0.11296929446076878,0.9995167681453562,0.05986789929781704
76,0.11296929446076878,0.9995167681453562,0.05986789929781704
77,0.1129589880552506,0.9994201217744274,0.05986245701781807
78,0.11296083893167295,0.9994201217744274,0.059863496639516504
79,0.11296145590395928,0.9994201217744274,0.05986384318810712
80,0.11295176610026927,0.9993234754034986,0.05985874725020262
81,0.11295238303311013,0.9993234754034986,0.05985909377731723
82,0.11295299997269029,0.9993234754034986,0.059859440308444
83,0.11295361691900986,0.9993234754034986,0.05985978684358302
84,0.11295361691900986,0.9993234754034986,0.05985978684358302
85,0.11295361691900986,0.9993234754034986,0.05985978684358302
86,0.11293300269824452,0.9991301826616411,0.059848901496512
87,0.11292269541896757,0.9990335362907122,0.059843458728449525
88,0.11287115733356637,0.9985503044360684,0.05981624394282373
89,0.11287115733356637,0.9985503044360684,0.05981624394282373
90,0.1128614658553372,0.9984536580651396,0.05981114707023222
91,0.1128614658553372,0.9984536580651396,0.05981114707023222
92,0.11284146587935828,0.9982603653232821,0.05980060674833839
93,0.11283239015010817,0.9981637189523533,0.059795855744234926
94,0.1128233141233988,0.9980670725814246,0.05979110457508772
95,0.11281362154012552,0.9979704262104958,0.059786007086778295
96,0.11281547033759425,0.9979704262104958,0.059787045561133206
97,0.11280577740388292,0.997873779839567,0.05978194787824748
98,0.10753111706317946,0.9234560742244129,0.057089425162365794
